Empresa	Ubicación (Ciudad, Estado)	Correo Electrónico	Teléfono	Fax
ACE APPLES CO.	Manteca, California	chris@lagorio.com	209-982-0670	209-082-0591
ACE TOMATO CO.	Manteca, California	mail@lagorio.com	209-984-5691	209-982-0235
ACOSTA INTERNATIONAL	Wilmington, Delaware	da_acosta@comcast.net	302-475-2355	302-475-2355
ACTION PRODUCE, INC.	Center, Colorado	N/A	719-754-9195	719-754-0502
ADAM & ABRAHAM, INC.	Dallas, Texas	ampearce111@hotmail.com	214-317-6028	214-594-5875
ADAM BROS. PROD.	Santa Maria, California	kevin@adambros.com	805-928-4550	805-922-4969
ADAPEX	Cartago, Costa Rica	adapex@racsa.co.cr	506-536-6264	506-536-6474
ADD MARKETING & CO.	Rio Rico, Arizona	add_nogales@hotmail.com	520-377-7007	520-377-7117
ADOBE CREEK PACKING	Kelseyville, California	vernolla@aol.com	707-279-4204	707-279-0366
ADS/AMPCO DISTING.	Riverhead, Nueva York	kschelin@andrewandsons.com	631-208-0943	631-369-5578
ADVANCED FARM TECHNOLOGY CO.	Vincennes, Indiana	marthasbest@marthasbest.com	877-727-2929	812-895-0323
ADVANCED MARKETING	Londres, Inglaterra	N/A	441171858465	44171858453
AG GROWER SALES, LLC	East Wenatchee, Washington	info@aggrowersales.com	509-886-7016	509-884-0129
AG PACIFIC, LLC.	Los Ángeles, California	allen@agpacific.com	213-229-9300	213-229-9346
AG WAREHOUSE & PACKING	Raleigh, Carolina del Norte	greg.cardamone@ag-wh.com	919-875-4040	919-875-4049
AG-MART PRODUCE.	Plant City, Florida	info@santasweets.com	813-752-1023	813-759-8372
AGRI PACKING	Nogales, Arizona	ccorella@agripacking.net	520-761-3816	520-761-3812
AGRICAP FINANCIAL	Los Ángeles, California	info@agricap.com	213-687-8200	213-687-8333
AGRICOLA ROSALES	La Serna, Chile	N/A	N/A	N/A
AGRICOM LTD.	Las Condes, Chile	agricom@agricom.cl	56-2-4313200	56-2-4313250
AGRI-EMPIRE	San Jacinto, California	dagent@agri-empire.com	951-654-7389	951-654-7639
AGRI-FRESH PROCUREMENT	Wenatchee, Washington	info@agrifresh.com	509-884-6635	509-884-3520
AGRI-PACK, INC.	Pasco, Washington	larry_denke@hotmail.com	509-545-6181	509-545-5748
AGRI-PACKING	Nogales, Arizona	ccorella@agripacking.net	520-761-3816	520-761-3812
AGRI-SALES, INC.	Wadsworth, Illinois	mike.hughes@agri-salesinc.com	847-855-0877	847-855-0963
AGRI SALES LTD. INC.	Cape Coral, Florida	tomatoes@agraservice.com	954-360-9570	954-697-2800
AGRICOM LTDA.	Las Condes, Chile	agricom@agricom.cl	5624313200	5624313250
AGRIMAX INTERNATIONAL	Bellevue, Washington	westly@agrimaxintl.com	425-456-3670	425-456-3677
AGRIVER, S.A. DE C.V.	Martínez de la Torre, México	agriver@karlinka.net.mx	52232324-4139	522323244138
AGRO EXPORT, LLC.	McAllen, Texas	agroexportavocados@hotmail.com	956-664-0848	956-664-0833
AGROSUN, INC.	Bronx, Nueva York	agrosuninc@aol.com	718-991-8895	718-991-9162
AGRO-JAL FARMS, INC.	Santa Maria, California	patty@agrojalfarms.com	805-928-2682	805-346-2461
AIRDROME ORCHARDS	San José, California	N/A	408-297-6461	408-297-2504
AKIN-PORTER PRODUCE	Plant City, Florida	N/A	813-754-7657	813-754-5484
AKIN-PORTER PRODUCE	Greenfield, Tennessee	joep@smpmarketingllc.com	731-235-2287	731-235-9171
ALBEE TOMATO CO., INC.	Bronx, Nueva York	N/A	N/A	N/A
ALBERTA LTD.	Okotoks, Alberta, Canadá	N/A	403-938-5479	403-272-4973
ALBERTSON'S, INC.	Boise, Idaho	tim-meissner@supervalu.com	208-395-6200	208-395-6201
ALDERMAN FARMS	Boynton Beach, Florida	tomafsc@bellsouth.net	561-369-2801	561-369-2804
ALEMBIC INTERNATIONAL	Honokaa, Hawái	alembic@hawaii.rr.com	808-775-1478	808-775-1692
ALEXANDER PRODUCE	Vardaman, Misisipi	bob@alexfarms.com	888-812-9267	662-682-9282
ALFDC (ARK LAND & FARM DEV. CO)	Forrest City, Arkansas	jdavis@genisbroadband.com	870-494-3203	870-494-4551
ALGOMA ORCHARDS	Whitby, Ontario, Canadá	mgibson@idirect.ca	905-655-4961	905-655-8023
ALIAGA COMPANY, THE	Burlingame, California	N/A	650-343-4946	650-342-1297
ALIMENTOS Y FRUTOS S.A.	Santiago, Chile	N/A	562-739-0209	562-739-0101
ALL AMERICAN FARMS	Boca Raton, Florida	aaf@allamericanfarms.com	561-479-0205	561-487-9557
ALL FRESH PRODUCE	Wilmington, California	afp@earthlink.net	310-830-6337	310-830-9365
ALL SERVICES DISTRIBUTING	Nogales, Arizona	frank@allservicedistributors.com	520-281-4187	520-281-4940
ALL STATE PACKERS	Lodi, California	aspsales@pacbell.net	209-369-3586	209-369-5465
ALLAN BROS., INC.	Naches, Washington	dandavis@allanbrosfruit.com	509-653-2625	509-653-1935
ALLENDALE PRODUCE	Homedale, Idaho	chris@allendaleproduce.com	208-337-4025	208-337-3324
ALLIANCE INTERNATIONAL	Bakersfield, California	mwetzel@allianceintproduce.com	661-858-8240	661-858-8242
ALLIANCE PRODUCE	Murrieta, California	bill@allianceproduce.com	951-304-2400	951-304-2221
ALLIANCE SHIPPERS	Salinas, California	dbledsaw@alliance.com	831-775-2900	831-775-2970
ALLIANCE TRANSPORT	San Antonio, Texas	nancy@alliancetransport.com	210-223-4147	210-223-9404
ALLRIPE COLD STORAGE	Madera, California	N/A	559-661-2890	559-661-2893
ALLSTATE PRODUCE CORPORATION	Carlstadt, Nueva Jersey	kamy@allstateproduce.com	201-933-0020	201-933-0353
ALMQUIST, STEVE SALES	Blythe, California	mcyr@npgcable.com	760-922-9100	760-922-3986
ALPHAS COMPANY	Bronx, Nueva York	mail@alphasny.com	718-893-1600	718-378-3058
ALPHAS COMPANY, THE	Chelsea, Massachusetts	N/A	617-884-5921	617-884-5932
ALPIMEX C.V.B.A.	Zaventem, Bélgica	bart@alpimex.be	321-655-9239	N/A
ALPINE FRESH, INC.	Miami, Florida	gfleming@alpinefresh.com	305-594-9117	305-594-8506
ALPINE/SUMMIT SALES	Denver, Colorado	john@alpinesummit.com	303-756-6554	303-756-3811
ALSUM PRODUCE, INC.	Friesland, Wisconsin	alsum@alsum.com	920-348-5127	920-348-5174
ALTA PRODUCE SALES	Delano, California	ted@altaproducesales.com	661-725-0454	661-725-0456
ALTAR PRODUCE, LLC	Calexico, California	elizabeth@altarproduce.com	760-357-6762	760-357-8265
ALTUS PEANUT CO.	Altus, Oklahoma	N/A	580-482-1400	580-477-4320
ALVIN'S FARMS #1 CORP.	South El Monte, California	N/A	626-575-3728	626-575-3738
AMARAL, GEORGE RANCH	Gonzales, California	ssalczynski@yahoo.com	831-679-2977	831-679-0270
AMAZON PRODUCE NETWORK	Cherry Hill, Nueva Jersey	sales@amazonprod.com	856-321-3400	856-321-3450
AMCO PRODUCE, INC.	Leamington, Ontario, Canadá	sales@amcoproduce.com	519-326-9095	519-326-6130
AMERICAN BLUEBERRIES	Rocky Point, Carolina del Norte	clewis@bizec.rr.com	910-675-8620	910-602-3106
AMERICAN EAGLE FOOD PRODUCTS	Decar Grove, Nueva Jersey	coo@aefpi.com	973-857-6667	973-857-4347
AMERICAN FRUIT & PRODUCE	Opa-locka, Florida	N/A	305-631-1880	305-688-8502
AMERICAN GROWERS	Loxahatchee, Florida	N/A	561-656-1020	561-795-7066
AMERICAN MARKETING	Franklin Park, Illinois	jseamans@am-ltd.net	847-455-2970	847-455-2977
AMERICAN MUSHROOM HUNTER CORP.	Middletown, Nueva Jersey	eric@mushroomhunter.com	732-796-0020	732-671-0022
AMERICAN MUSHROOM, INC.	San Diego, California	N/A	619-477-6551	619-477-6087
AMERICAN ONION, INC.	Hermiston, Oregón	tedelman@americanonion.com	541-564-0866	541-564-0899
AMERICAN PRODUCE INTERNATIONAL	Plant City, Florida	ampro1@msn.com	813-659-4558	813-659-4629
AMERICUS BEAN CO.	Americus, Georgia	americusbean@bellsouth.net	229-931-6001	229-931-6030
AMERIFRESH, INC.	Scottsdale, Arizona	greg_reinauer@amerifresh.com	480-927-4900	480-927-4922
AMERIFRESH, INC.	Fresno, California	brenda_sandoval@amerifresh.com	559-266-2000	559-266-2099
AMERIFRESH, INC.	Salinas, California	janice_pedrano@amerifresh.com	N/A	N/A
AMERIFRESH, INC.	Tifton, Georgia	mike_kennedy@amerifresh.com	229-387-8144	229-387-8154
AMERIFRESH, INC.	Idaho Falls, Idaho	mike_schall@amerifresh.com	208-529-2142	208-529-2192
AMERIFRESH, INC.	Seattle, Washington	greg_reinauer@amerifresh.com	206-933-4900	206-933-4922
AMF FARMS, INC.	Burlington, Washington	michele@amffarms.com	360-755-2299	360-755-8010
AMIGOS PACKING INC.	Terra Bella, California	N/A	559-535-3242	559-535-2305
AMPCO DISTRIBUTION	Riverhead, Nueva York	N/A	631-208-0943	631-369-5578
AMS EXOTIC LLC.	Los Ángeles, California	office@amsexotic.com	213-612-5888	N/A
AMSTAD PRODUCE, INC.	Hermiston, Oregón	jeffurbach@gmail.com	503-625-2540	503-325-7848
ANDEAN SUN PERU	Ica, Perú	ftelge@andeansunproduce.com	N/A	N/A
ANDERSON & OLIVERO	Salinas, California	george_anderson@sbcglobal.net	831-796-0474	831-796-0473
ANDES RIVER MARKET	Belmawr, Nueva Jersey	ggepp@andesriver.com	856+-931-8900	856-931-1367
ANDREW & WILLIAMSON	San Diego, California	phammans@goodfarms.com	619-661-6004	619-661-6007
ANDREWS BROTHERS	Detroit, Michigan	habrash@aol.com	313-841-7400	313-841-0385
ANDREWS, MIKE, PRODUCE	Cambridge, Ohio	andrewsproduce@roadrunner.com	740-432-5619	740-439-1955
ANDREWS, ROBERT S.	Bakersfield, California	robertsandrews@aol.com	661-858-2838	661-858-2312
ANDREWSAG, INC	Bakersfield, California	andrewsagsales@msn.com	661-858-2266	661-858-2965
ANDERSON PRODUCE	Edinburg, Texas	deroy@whatamelon.com	956-381-1421	956-381-1282
ANDRUS & ROBERTS PRODUCE	Sunnyside, Washington	shirley.arproduce@earthlink.net	509-837-5601	509-837-7990
ANTELOPE DISTRIBUTING	Corona, California	antelopedistributing@yahoo.com	951-734-8333	951-734-5333
ANTHONY VINEYARDS	Bakersfield, California	jharley@anthonyvineyards.com	661-858-8300	661-858-8306
ANTLE MARKETING, LLC.	Bardstown, Kentucky	N/A	502-348-9940	502-348-9947
APACHE PRODUCE CO.	Nogales, Arizona	ceverette@apacheproduce.com	520-281-2282	520-377-0374
APEX PRODUCE CO.	Center, Colorado	ron_mizo@hotmail.com	719-754-2660	719-754-2607
APIO FRESH, LLC.	Guadalupe, California	N/A	805-249-5500	805-343-3033
APPALACHIAN PRODUCE	Rio Rico, Arizona	veggie@theriver.com	520-281-1561	520-281-4349
APPLE A DAY FRUITS	Union, Nueva Jersey	salconte@aol.com	908-527-6611	908-527-6624
APPLE KING, INC.	Yakima, Washington	ray@appleking.com	509-972-9558	509-965-5945
APPLE WEDGE PACKERS	Hendersonville, Carolina del Norte	gnix@applewedge.com	828-685-8349	828-685-7409
APPLETON PRODUCE CO.	Weiser, Idaho	freshpacksales@appletonproduce.com	208-414-3352	208-414-1862
ARBITTIER FARMS, INC.	Vineland, Nueva Jersey	arbittierfmx@comcast.net	856-697-3200	856-697-2671
ARBOLA TRADING CORP.	Los Ángeles, California	lc@valleyproduce.com	213-627-8736	213-239-6797
AREVALO & ASSOCIATES	Hidalgo, Texas	arevalo@aol.com	956-843-2377	956-843-8657
ARIZONA MIXERS	Rio Rico, Arizona	azmixers@gmail.com	520-377-9777	520-377-2700
ARKANASAS TOMATO SALES	Rio Rico, Arizona	brooks@arkansastomato.com	520-377-2877	520-377-2874
ARKANSAS DELTA PROD.	Lexa, Arkansas	harveyandlula@aol.com	870-816-5430	870-295-6439
ARMSTRONG MARKETING	Salinas, California	armmrkting@aol.com	831-484-0800	831-484-0818
ARNOLD BROKERS, INC.	Miami, Florida	arnoldabi@bellsouth.net	305-252-2400	305-252-2475
ARROWHEAD POTATO	Rupert, Idaho	idspuds@pmt.org	208-436-1209	208-436-0775
ASBELL-MCCORMICK, INC.	Monte Vista, Colorado	jmccormick@amigo.net	719-852-4727	719-852-4326
ASG PRODUCE	Fresno, California	craig@asgproduce.com	559-325-3011	559-421-1946
ASIAN FRESH PRODUCE	Los Ángeles, California	asianfresh@charter.net	213-817-6670	213-817-6673
ASSI SUPER	Los Ángeles, California	N/A	213-388-0900	213-384-8949
ASSOCIATED CITRUS PACKERS, INC.	Yuma, Arizona	xascit@mindspring.com	928-783-4491	928-783-6124
ASSOCIATED FREIGHT BROKERS, INC.	Yakima, Washington	chris@associatedfreight.com	509-453-3083	509-575-6555
ASSOCIATED FRUIT CO.	Phoenix, Oregón	scott@piggybears.com	541-535-1787	541-535-6936
ASSOCIATED POTATO GROWERS	Grand Forks, Dakota del Norte	pd@apgspud.com	701-775-4614	701-746-5767
ASTERN INTERNATIONAL	Deerfield Beach, Florida	lavegfruit@aol.com	954-698-0046	954-698-6842
ASTIN STRAWBERRY EXCHANGE	Plant City, Florida	shawn@strawberryexchange.com	813-650-8448	813-754-5702
ASUMENDI PRODUCE	Wilder, Idaho	jimproduceman@frontier.com	208-482-6579	208-482-6584
AT THE BEACH PRODUCE	Manhattan Beach, California	atthebeachproduce@hotmail.com	310-465-0183	310-465-0182
ATLANTIC COAST PRODUCE	Jessup, Maryland	atlanticcoastproduce@yahoo.com	410-799-7950	410-799-4114
ATLANTIC FRESH TRADING	Clarks Summit, Pensilvania	atlanticfresh@aol.com	800-479-7195	570-558-2431
ATLANTIC PRODUCE EXCHANGE	Tallahassee, Florida	N/A	850-878-6224	850-878-0146
ATLANTIC TROPICAL	Hoboken, Nueva Jersey	N/A	201-420-0551	201-420-8117
ATLAS PRODUCE & DIST.	Bakersfield, California	rd@atlasproduce.com	661-322-5800	661-322-6868
ATWATER PACKING CO.	Atwater, California	apc95301@sbcglobal.net	209-358-3024	209-358-0376
AUBURNDALE FRUIT CO.	Auburndale, Florida	jhelms@auburndalefruit.com	863-965-2777	888-288-1483
AUERBACH, MAURICE	South Hackensack, Nueva Jersey	jschwartz@auerpak.com	201-807-9292	201-807-9596
AUNT MIDS PRODUCE	Detroit, Michigan	auntmids@ameritech.net	313-843-0840	313-843-8530
AUVIL FRUIT COMPANY	Orondo, Washington	brian@auvilfruit.com	509-784-1033	509-784-1712
AVIARA FARMS, INC.	Carlsbad, California	jimmy@avirafarms.com	760-603-9608	760-603-9098
A-W PRODUCE CO.	Weslaco, Texas	chad@awproduce.com	956-447-5551	956-447-5643
AWE SUM ORGANICS	Santa Cruz, California	david@awesumorganics.com	831-462-2244	831-462-2552
AYCO FARMS, INC.	Pompano Beach, Florida	sales@aycofarms.com	954-788-6800	954-788-5600
AZHDERIAN, V.H. CO.	Los Baños, California	vhazhderian@sbcglobal.net	209-826-4961	209-826-0516
AZTEX PEPPER FARMS.	Falfurrias, Texas	dennisdicker@aztexpepperfarms.com	361-325-9540	361-325-9547
B & B BROKERAGE CO.	Salinas, California	bandbbro@redshift.com	831-663-9720	831-663-9729
B & B IMPORTS, INC.	Cincinnati, Ohio	mbowe1@aol.com	513-231-8021	513-231-8022
B & B PRODUCE INC.	Benson, Carolina del Norte	N/A	919-894-2527	919-894-2127
B & G PRODUCE	Williston, Florida	N/A	352-528-3520	352-528-0288
B & J ONIONS & MELON	San Ygnacio, Texas	bjomco45@aol.com	956-765-0878	956-765-0044
B & W QUALITY GROWERS	Fellsmere, Florida	info@watercress.com	772-571-0514	772-571-8439
BMI PRODUCE, LLC.	Adel, Georgia	brad@bmiproduce.com	229-896-1034	229-896-5355
BABE FARMS, INC.	Santa Maria, California	customerservice@babefarms.com	805-925-4144	805-922-3950
BABY FRESH PRODUCE	Dallas, Texas	jcb@babyfresh.biz	469-360-4685	817-244-1471
BACCHUS FRESH INT'L.	Glen Ellyn, Illinois	info@bacchusfresh.com	630-858-6040	630-858-6065
BACCHUS FRESH INT'L.	Cliffside Park, Nueva Jersey	hernan@bacchusfresh.com	201-943-9040	N/A
BACIGALUPO, RICHARD	Vineland, Nueva Jersey	bacigalupob@aol.com	856-692-1440	856-692-9385
BADLANDS PROVISION	Brawley, California	N/A	760-344-8888	760-344-7809
BAGLEY PRODUCE CO.	Edinburg, Texas	sansababoy@aol.com	956-381-8126	956-381-0764
BAJA KING DISTRIBUTORS	Nogales, Arizona	bobbypesquera@yahoo.com	619-661-7274	619-661-7104
BAJA PRODUCE CO.	San Diego, California	x368@yahoo.com	619-233-0772	619-233-1228
BAILEY FARMS, INC.	Oxford, Carolina del Norte	rbailey@baileyfarmsinc.com	919-690-1524	919-690-0409
BAILEY, WAYNE E. PROD.	Chadbourn, Carolina del Norte	web@sweetpotatoes.com	910-654-5163	910-654-4734
BAKER FARMS	Norman Park, Georgia	bakerfarms@alltel.net	229-769-3113	229-769-3991
BAKER PACKING CO.	Ontario, Oregón	steve.baker@fmtc.com	541-889-9663	541-889-9376
BAKER PRODUCE, INC.	Kennewick, Washington	pbeamer@bakerproduce.com	800-624-0515	509-582-3694
BAKERSFIELD COLD & DRY STORAGE	Bakersfield, California	N/A	661-392-3600	661-392-3640
BAL BROKERAGE SERVICE	Ashville, Nueva York	balbrokerage@madbbs.com	716-789-9098	716-789-4246
BALESTREIRE PRODUCE CO.	Pittsburgh, Pensilvania	N/A	412-231-7746	412-231-7646
BALL BROTHERS PRODUCE	Lewisville, Idaho	carlball@ida.net	208-754-4651	208-754-8530
BALL, PHILIP G. CO.	Clarks Summit, Pensilvania	selluspuds@gmail.com	570-586-7600	570-586-5233
BALLANTINE PRODUCE	Sanger, California	jdibuduo@ballentineproduce.com	559-875-2583	559-875-3776
BALOIAN PACKING CO.	Fresno, California	tbaloian@baloianpacking.com	559-485-9200	559-268-7651
BALSAMO, PHILLIP, CO.	Chicago, Illinois	bud@phillipbalsamo.com	630-575-8000	630-575-8004
BAMA TOMATO CO., INC.	Birmingham, Alabama	N/A	205-252-2002	205-252-6040
BAMFORD PRODUCE CO. LTD.	Toronto, Ontario, Canadá	steve@banfordproduce.com	905-615-9400	905-615-9401
BANACOL MARKETING	Coral Gables, Florida	info@banacol.com	305-441-9036	305-446-4291
BANANA COMPANY, THE	Los Ángeles, California	duy@davalansales.com	213-689-9200	213-689-4300
BANDWAGON BROKERAGE	Encino, California	dennis@bandwagoninc.com	213-622-5601	213-622-5686
BAR-MAGEN LTD.	Kfar Bnei Zion, Israel	hava@bar-magen.com	97297603020	97297603022
BARKER PRODUCE, INC.	Mesilla Park, Nuevo México	barkerproduce@qwest.net	505-524-5802	505-524-7125
BARLOW TRUCK LINES	Faucett, Misuri	slindsay@barlowtruckline.com	816-238-3373	816-238-1481
BARRETT, RICHARD PRO.	Muleshoe, Texas	barrettp@fivearea.com	806-272-4546	806-272-5353
BARSAMIAN BROS.	Emeryville, California	bbrospro@aol.com	510-652-7766	510-652-0487
BARTOLOTTA, INC.	Torrington, Connecticut	bartopro@earthlink.net	860-489-7490	860-496-7127
BASIN GOLD COOPERATIVE	Pasco, Washington	sales@basingold.com	509-545-4161	509-545-4202
BATTLE PRODUCE EXCHANGE	Traverse City, Michigan	jbattle656@aol.com	231-946-9696	231-946-1420
BAUGH SUPPLY CHAIN	Salinas, California	N/A	831-771-5000	831-771-5015
BAUMAN ORCHARD, INC.	Rittman, Ohio	baumanoffice@neo.rr.com	330-925-6861	303-925-5676
BAY AREA PRODUCE	San José, California	bloyst@aol.com	408-395-1111	408-395-2894
BAY FRESH CORPORATION	South San Francisco, California	michihisaishikawa@msn.com	650-589-1245	650-589-2265
BAY VALLEY FOODS LLT.	Green Bay, Wisconsin	N/A	920-497-7131	920-497-4604
BBI PRODUCE, INC.	Dover, Florida	bbichris@tampabay.rr.com	813-659-0833	813-659-7190
BC FRESH	Delta, Columbia Británica, Canadá	greg@bcfreshinc.com	604-946-3139	604-946-2924
BC HOT HOUSE FOODS	Surrey, Vancouver, Canadá	devonk@bchothouse.com	604-576-8525	604-576-2115
BC TREE FRUITS LTD.	Toronto, Ontario, Canadá	raustin@bctree.com	416-233-6922	N/A
BD TROPICAL INC.	Mission, Texas	timbofruit@aol.com	956-783-9945	956-283-0500
BE-ON PRODUCE, INC.	Los Ángeles, California	N/A	213-689-8288	213-689-8688
BE WISE RANCH	Escondido, California	bewiseranchcsa@gmail.com	760-746-6006	760-746-6011
BEACH FRUIT	Vero Beach, Florida	fruitb@bellsouth.net	772-589-1899	772-589-7531
BEACH STREET FARMS	Watsonville, California	fritz@beachstreet.com	831-763-4401	831-763-7118
BEACHSIDE PRODUCE	Guadalupe, California	info@beachsideproduce.com	805-249-5525	805-343-6617
BEAR BERRY IMPORTS	La Jolla, California	info@bearberryimports.com	858-202-1754	858-678-0212
BEAUVAIS LTEE	Lemoyne, Quebec, Canadá	beauvaisga@videotron.ca	514-871-0226	450-672-6869
BEAVER STREET FISHERIES	Jacksonville, Florida	N/A	904-354-8533	904-633-7297
BEBO DISTRIBUTING CO.	Pharr, Texas	bebodist@aol.com	956-702-4415	956-702-7746
BECKHAM COUNTY PEANUT	Sayre, Oklahoma	N/A	580-928-2983	580-928-3432
BEE SWEET CITRUS, INC.	Fowler, California	jim@beesweetcitrus.com	559-834-5345	559-834-1434
BEEFY PRODUCE	Delray Beach, Florida	beefyproduce@bellsouth.net	561-495-0955	561-495-1179
BEKAH'S BEST PRODUCE	Fort Pierce, Florida	N/A	772-971-4011	772-595-6375
BEL-AIRE FOODS, INC.	Pittsburgh, Pensilvania	N/A	412-364-7277	412-364-7317
BELK FARMS	Coachella, California	N/A	760-399-5951	760-399-1223
BELL FARMS INC.	Gervais, Oregón	N/A	503-390-1425	503-390-1956
BELL'S MELONS	Lone Tree, Iowa	tbel@aol.com	319-725-6631	319-725-6060
BELLEHARVEST SALES	Belding, Michigan	bellehar@iserv.net	616-794-0320	616-794-3961
BELLUE MARKETING CO.	Bakersfield, California	pkb1@igalaxy.net	661-325-4700	661-328-5515
BELMONT PRODUCE SALES	Palm Desert, California	gary@belmontproduce.com	559-637-1980	559-637-1799
BENATOVICH PRODUCE	Boca Ratón, Florida	tbenatovich@aldelphia.net	561-361-4102	561-361-3905
BENBEN, MIKE, INC.	Texas	josh@benben1.com	903-866-3105	903-866-2214
BENBEN, MIKE, INC.	Stirtevant, Wisconsin	benben@expc.com	262-886-3363	262-886-4372
BEN-BUD GROWERS	Coconut Creek, Florida	sales@ben-bud.com	954-574-4000	954-574-4001
BENCH MARK POTATO	Rexburg, Idaho	potato@ida.net	208-356-7321	208-356-9217
BENGARD MARKETING, INC.	Kelseyville, California	broc@bengard.us	310-605-5105	310-605-5240
BENGARD RANCH, INC.	Salinas, California	brucef@bengardranch.com	831-433-0997	831-422-7782
BENNY'S FARM FRESH	Chicago, Illinois	ron@bennysfarm.com	312-666-2939	312-666-2949
BETANCOURT & COMPANY	Edinburg, Texas	N/A	956-287-2420	956-287-8886
BERG. DAVID H., & CO.	Indio, California	N/A	760-398-7900	760-398-7910
BERNARDI & ASSOC.	Nogales, Arizona	jbernardi@bernardi-associates.com	520-281-4011	520-281-2090
BERRY, CHIP, PRODUCE	Flint, Texas	chip@chipberryproduce.com	903-894-9110	903-894-8210
BEST BUY PRODUCE	Los Ángeles, California	bproduce@aol.com	323-262-8888	323-268-1155
BEST FLORIDA PRODUCE	Florida City, Florida	N/A	786-243-2228	786-243-2656
BEST FOODS SERVICE	Summit, Illinois	bestfoodspeter@hotmail.com	773-526-5118	773-788-9447
